Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,89762,61687,55177,44547,46280,46931,46888,49421,44763,40887,40363,43902,610608
C. Pintu Darat,155019,118011,119765,112225,114721,108038,104731,106279,93884,98643,87421,96013,1314750
Jayapura,5671,-,-,-,-,-,-,2,-,-,2,1,5676
Atambua,12640,7124,3955,2,2,-,36,33,-,28,26,13,23859
Entikong,2177,1746,833,5,2,4,26,42,63,23,10,5,4936
Aruk,2834,2330,937,19,23,64,4,4,2,3,10,4,6234
Nanga Badau,1213,989,610,-,-,-,-,-,-,-,2,-,2814
Pintu Darat Lainnya,130484,105822,113430,112199,114694,107970,104665,106198,93819,98589,87371,95990,1271231
Jumlah (A+B+C),1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,4052923

Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,706704,731517,758821,772038,711229,829067,975870,977033,900409,855796,777244,838978,-
Ngurah Rai,451708,436266,441707,476104,483928,549483,604310,602457,589984,565966,492904,544726,-
Soekarno-Hatta,174963,196183,214161,196977,156654,190031,267143,251596,211775,189231,183759,186723,-
Juanda,13792,17389,20497,18431,14529,22485,24913,29180,20462,20895,20780,20546,-
Kualanamu,16253,21815,21129,21613,15573,18935,20929,24623,18913,21518,20798,22431,-
Husein Sastranegara,12524,15127,16342,14738,8029,8652,12581,13984,12869,13420,14616,14951,-
Adi Sucipto,8055,9604,10550,9922,6664,6583,10480,12013,10609,9535,9218,9795,-
Bandara Int. Lombok,2126,3590,3568,5143,2884,6127,5306,6622,6552,5711,4635,5499,-
Sam Ratulangi,10905,11305,10761,11574,9755,8339,11203,14171,11874,10394,9261,10743,-
Minangkabau,4528,5144,6196,5434,3576,5212,5183,5967,4427,5271,5013,5180,-
Sultan Syarif Kasim II,2450,2989,3071,2745,2364,2971,2555,3229,2409,2677,2917,4042,-
Sultan Iskandar Muda,1676,1739,2134,2225,1360,2051,2823,2935,2371,2560,2417,4012,-
Ahmad Yani,2165,2033,2296,1635,996,1872,1851,2035,1946,2225,2296,2627,-
Supadio,1598,2639,2316,1886,1527,1567,1826,2127,2077,1599,1811,1527,-
Hasanuddin,951,1379,1825,1312,1105,1385,1473,1983,1503,1439,1595,1821,-
Sultan Badaruddin II,1038,1573,1419,1409,1396,1725,1231,1605,1287,1183,1218,762,-
Pintu Udara Lainnya,1972,2742,849,890,889,1649,2063,2506,1351,2172,4006,3593,-
B. Pintu Laut,304479,340751,378698,328884,335111,386152,311429,368408,327642,332319,358264,388495,-
